Kannada,English
ಸಮಯ,Time
ಕಾಲ,Period
ಸ್ನೇಹಿತ,Friend
ಹೆಸರು,Name
ಸ್ಥಳ,Place
ಕಾಲೇಜು,College
ಪರೀಕ್ಷೆ,Exam
ಉತ್ತರ,Answer
ಪ್ರಶ್ನೆ,Question
ಕಥೆ,Story
ಚಿತ್ರ,Movie
ಗಮನ,Attention
ದಾರಿ,Way
ನೋಟ,View
ಅರ್ಥ,Meaning
ಸಮಾಜ,Society
ಜನ,People
ರಸ್ತೆ,Road
ಮಾರ್ಕೆಟ್,Market
ಕಾರ್ಯ,Work
ನಾಟಕ,Drama
ಉದ್ಯೋಗ,Job
ಸಹಾಯ,Help
ಆಯಾಸ,Tiredness
ಬಣ್ಣ,Color
ಸಮಸ್ಯೆ,Problem
ಪರಿಹಾರ,Solution
ಆರೋಗ್ಯ,Health
ವೈದ್ಯ,Doctor
ಆಸ್ಪತ್ರೆ,Hospital
ವಿಮಾನ,Airplane
ರೈಲು,Train
ಕಾರು,Car
ಬಸ್,Bus
ಕಂಪ್ಯೂಟರ್,Computer
ಮೊಬೈಲ್,Mobile
ಪತ್ರಿಕೆ,Newspaper
ಸುದ್ದಿ,News
ಸಮಾಚಾರ,Information
ಪಠ್ಯ,Text
ಸಂಗೀತ,Music
ನೃತ್ಯ,Dance
ಹಬ್ಬ,Festival
ಆಚಾರ,Custom
ಪರಂಪರೆ,Tradition
ಭಾಷೆ,Language
ಕಾವ್ಯ,Poetry
ಗೀತೆ,Song
ಪುಸ್ತಕಾಲಯ,Library
ಶಿಕ್ಷಕ,Teacher
