Kannada,English
ಅಮ್ಮ,Mother
ಅಪ್ಪ,Father
ಅಣ್ಣ,Brother
ತಂಗಿ,Sister
ಮಗು,Child
ಮನೆ,House
ನೀರು,Water
ಅಕ್ಕಿ,Rice
ಹಣ್ಣು,Fruit
ಹೂವು,Flower
ನಾಯಿ,Dog
ಬೆಕ್ಕು,Cat
ಹಸು,Cow
ಕೋಳಿ,Hen
ಮೀನು,Fish
ಬೆಳಗ್ಗೆ,Morning
ಸಂಜೆ,Evening
ರಾತ್ರಿ,Night
ದಿನ,Day
ಮಳೆ,Rain
ಗಾಳಿ,Wind
ಬೆಟ್ಟ,Hill
ನದಿ,River
ಮರ,Tree
ಪುಸ್ತಕ,Book
ಶಾಲೆ,School
ಮಾಸ್ಟರ್,Teacher
ವಿದ್ಯಾರ್ಥಿ,Student
ಕಣ್ಣು,Eye
ಕಿವಿ,Ear
ಕೈ,Hand
ಕಾಲು,Leg
ಮುಖ,Face
ತಲೆ,Head
ಬಾಯಿ,Mouth
ಆಟ,Play
ತಿನ್ನು,Eat
ಕುಡಿ,Drink
ಮಲಗು,Sleep
ನಿಲ್ಲು,Stand
ಕುಳಿತುಕೋ,Sit
ಹೋಗು,Go
ಬಾ,Come
ಬಸು,Stay
ಕುಟುಂಬ,Family
ಸ್ನೇಹ,Friendship
ಊರು,Town
ಹಳ್ಳಿ,Village
ತಾತ,Grandfather
ಅಜ್ಜಿ,Grandmother
